node_id,entity_type,name,name_norm,is_registry,first_seen_chunk,first_seen_source,first_seen_page,example_evidence,chunk_count,surface_forms
ent:2823bfd41f8dfccc,Authority,DECCW NSW,deccw nsw,True,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,buildings can be purposefully deconstructed to maximise reuse and recycling (DECCW NSW 2010),2,DECCW NSW
ent:83b7af503d0c0625,Authority,"Department of Agriculture, Food & the Marine",department of agriculture food  the marine,True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c63::b4c349368bf2c58b,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,"Technical Guidance Document B - Fire Safety by a cross department/industry representative working group under Department of Agriculture, Food & the Marine",1,"Department of Agriculture, Food & the Marine"
ent:8446c691a2b56376,Authority,"Department of Agriculture, Water and the Environment (DAWE)",department of agriculture water and the environment (dawe),True,31.Are_Australian_Construction_and_Demolition_Waste_Management_Research_Efforts_Coherent_with_Policy_Targets::c9::1e319fb82ef42e8f,31.Are Australian Construction and Demolition Waste Management Research Efforts Coherent with Policy Targets.pdf,,"Department of Agriculture, Water and the Environment 2022",7,"Department of Agriculture, Water and the Environment (DAWE)"
ent:8686c7dcf22c4a00,Authority,"Department of Climate Change, Energy, the Environment and Water (DCCEEW)",department of climate change energy the environment and water (dcceew),True,50.Australia_s_circular_economy_Unlocking_the_oppertunities_Inquiry_report::c134::df4df66ac33bb85f,50.Australia’s circular economy Unlocking the oppertunities Inquiry report.pdf,,"The Australian Government Department of Climate Change, Energy, the Environment and Water (DCCEEW) is currently completing a statutory review",2,"Department of Climate Change, Energy, the Environment and Water (DCCEEW)"
ent:27a8196d93ce1c5b,Authority,Department of Finance,department of finance,True,40.CIOB_Response_to_DECC_Circular_Economy_Consultation::c4::90b3e9fdb49209b8,40.CIOB Response to DECC Circular Economy Consultation.pdf,2.0,"the guidance will spill over into the remit of other departments – the Department of Housing, Planning and Local Government, and the Department of Finance",1,Department of Finance
ent:11555f5d765922fa,Authority,"Department of Housing, Local Government and Heritage",department of housing local government and heritage,True,40.CIOB_Response_to_DECC_Circular_Economy_Consultation::c4::90b3e9fdb49209b8,40.CIOB Response to DECC Circular Economy Consultation.pdf,2.0,"the guidance will spill over into the remit of other departments – the Department of Housing, Planning and Local Government, and the Department of Finance",3,"Department of Housing, Local Government and Heritage"
ent:17748330faaf531c,Authority,Department of Planning,department of planning,False,62.Integrating_the_circular_economy_into_construction_waste_management_in_NSW_Australia::c96::12eba1fd383f608e,"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf",,"the NSW Waste Strategy (Department of Planning, 2021)",1,Department of Planning
ent:cf16416e7e15f854,Authority,"Department of the Environment, Climate and Communications",department of the environment climate and communications,True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c59::a93bc17b7f5d2c11,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,"Department of the Environment, Climate and Communications Department of Housing, Local Government and Heritage",1,"Department of the Environment, Climate and Communications"
ent:fac149a3947503ac,Authority,Design Institute of Australia (DIA),design institute of australia (dia),True,87.The_Circular_Economy_in_the_Australian_Built_Environment_The_State_of_Play_and_a_Research_Agenda::c116::1761486bf37a971b,87.The Circular Economy in the Australian Built Environment The State of Play and a Research Agenda.pdf,,Design Institute of Australia (DIA). 2021. Designers for a Circular Economy … DIA's new policy.,1,Design Institute of Australia (DIA)
ent:e9d453e1e02b3849,Authority,Dutch Green Building Council (DGBC),dutch green building council (dgbc),True,70.The_Reuse_Playbook_-_Circular_Buildings_design::c37::e708cd894362678a,70.The Reuse Playbook - Circular Buildings design.pdf,29.0,Level(s) DGBC - Circular Buildings Project Reference Quay Quarter Tower,1,Dutch Green Building Council (DGBC)
ent:5a0b2e832ae6aa6e,Authority,Engineers Australia,engineers australia,True,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c259::9d4b12e1927577ff,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,"EA (2021) Our position on climate change, Engineers Australia, accessed 1 May 2023",3,Engineers Australia
ent:ed56af9fe354a6a5,Authority,Enterprise Ireland,enterprise ireland,True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c138::215b621a68e75b9e,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,through Enterprise Ireland or similar training providers,1,Enterprise Ireland
ent:4ba1927fad9748c2,Authority,Environment and Communications Committee,environment and communications committee,True,50.Australia_s_circular_economy_Unlocking_the_oppertunities_Inquiry_report::c133::2eb612be2f4da905,50.Australia’s circular economy Unlocking the oppertunities Inquiry report.pdf,41.0,"Environment and Communications Committee 2025, pp. 68–69",1,Environment and Communications Committee
ent:659bc083c59fab00,Authority,Environmental Protection Agency (EPA),environmental protection agency (epa),True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c63::b4c349368bf2c58b,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,Appropriate State bodies to provide guidance to industry with exemplars showing implementing circular economy principles in case study projects. NSAI EPA,6,Environmental Protection Agency (EPA)
ent:b58daff55d98bd04,Authority,European Cement Research Academy,european cement research academy,True,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c259::9d4b12e1927577ff,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,"CSI/ECRA-Technology Papers 2017, European Cement Research Academy, Dusseldorf and Geneva",2,European Cement Research Academy
ent:b02573a0eeb352d2,Authority,European Commission,european commission,True,28.Development_of_the_circular_economy_design_guidelines_for_the_Australian_built_environment_sector::c81::1dcd228a889ccb5d,28.Development of the circular economy design guidelines for the Australian built environment sector.pdf,,European Commission. Circular Economy Action Plan. 2023. Available online: https://environment.ec.europa.eu/strategy/circular‑economy‑action‑plan_en,4,European Commission
ent:43326125c26978ac,Authority,European Demolition Association,european demolition association,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c42::0bc53ff2eb35ef80,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,European Demolition Association – Circular Economy Working A platform for national demolition associations and demolition Group related contractors and suppliers.,1,European Demolition Association
ent:40911fb32b0608dc,Authority,European Union (EU),european union (eu),True,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c51::521c038f2221401f,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,In the European Union (EU) CDW accounts for more than a third of all waste.,6,European Union; European Union (EU)
ent:3a9a54825f803905,Authority,FCRBE,fcrbe,True,47.gbca-a-practical-guide-to-circular-procurement::c126::bdf24606002a417d,47.gbca-a-practical-guide-to-circular-procurement.pdf,,FCRBE: Reuse Toolkit,1,FCRBE
ent:7e68fe3f00482862,Authority,Federal Government,federal government,True,47.gbca-a-practical-guide-to-circular-procurement::c30::345843b1cff4ed12,47.gbca-a-practical-guide-to-circular-procurement.pdf,,"Released in 2024, the Federal Government's Environmentally Sustainable Procurement policy",1,Federal Government
ent:ff42be2ce756f49b,Authority,French Government,french government,True,50.Australia_s_circular_economy_Unlocking_the_oppertunities_Inquiry_report::c126::9085ccbba1efc488,50.Australia’s circular economy Unlocking the oppertunities Inquiry report.pdf,,"the French Government has introduced a repairability index, which indicates how easily repairable a consumer electronics product is",1,French Government
ent:1ffe04a7d4b96ea1,Authority,GBCA,gbca,True,47.gbca-a-practical-guide-to-circular-procurement::c126::bdf24606002a417d,47.gbca-a-practical-guide-to-circular-procurement.pdf,,GBCA: Green Star construction & demolition waste reporting criteria,3,GBCA
ent:bb0e1fe50e9c44e5,Authority,GlobalABC,globalabc,True,47.gbca-a-practical-guide-to-circular-procurement::c126::bdf24606002a417d,47.gbca-a-practical-guide-to-circular-procurement.pdf,,GlobalABC: Pre-demolition audit – overall guidance document,1,GlobalABC
ent:1b7cbb6213dcca1f,Authority,Government,government,True,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,State governments often provide some financial relief through landfill levy exemptions,21,Government
ent:0f34e22fcdcbae0d,Authority,Green Alliance,green alliance,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c236::d75c4681996e1824,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"Resource Resilient UK: A Report from the Circular Economy Task Force. London: Green Alliance, 2013",1,Green Alliance
ent:61a4e4a2c0ecaf34,Authority,Green Building Council of Australia (GBCA),green building council of australia (gbca),False,44.The_Transition_to_a_Circular_Built_Environment_in_::c34::c56e7ea2e809ad23,44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,,"Green Building Council of Australia. (2020). Building to bounce back: Together, we can build a sustainable future",5,Green Building Council of Australia; Green Building Council of Australia (GBCA)
ent:67b3c2913d5a1783,Authority,Infrastructure Australia,infrastructure australia,True,55.australias-circular-economy-framework-2024::c58::00bffb44496f97f8,55.australias-circular-economy-framework-2024.pdf,,Infrastructure Australia estimates that around 27% of virgin materials used for road projects could be replaced,1,Infrastructure Australia
ent:057fc0c6b5767266,Authority,Infrastructure Sustainability Council of Australia (ISCA),infrastructure sustainability council of australia (isca),False,44.The_Transition_to_a_Circular_Built_Environment_in_::c34::c56e7ea2e809ad23,44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,,Prepared for Infrastructure Sustainability Council of Australia,3,Infrastructure Sustainability Council of Australia; Infrastructure Sustainability Council of Australia (ISCA)
ent:d73f66392daac5a8,Authority,Institute of Demolition Engineers,institute of demolition engineers,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c85::4e9272121fad372f,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"Collaboration across the value chain include industry bodies including ASBP, Institute of Demolition Engineers (IDE)",1,Institute of Demolition Engineers
ent:6f787468690e12a0,Authority,Institute of Public Administration,institute of public administration,False,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c69::ccf77b4884d63070,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,Develop existing good practice through the Institute of Public Administration 2025,1,Institute of Public Administration
ent:7e9c15377c6c53e9,Authority,Institute of Structural Engineers (IStructE),institute of structural engineers (istructe),True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c49::41bae40dbbf210cf,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,Institute of Structural Engineers: 2012 Olympic stadium case study,2,Institute of Structural Engineers (IStructE)
ent:0b15d074f9fd67d7,Authority,Institution of Civil Engineers,institution of civil engineers,False,87.The_Circular_Economy_in_the_Australian_Built_Environment_The_State_of_Play_and_a_Research_Agenda::c113::713fdf96f077f9e4,87.The Circular Economy in the Australian Built Environment The State of Play and a Research Agenda.pdf,,Proceedings of the Institution of Civil Engineers – Waste and Resource Management,1,Institution of Civil Engineers
ent:542f91819a4a12c5,Authority,International Living Future Institute,international living future institute,True,48.What-Works-3-For-circular-design-in-the-built-environment::c83::bbb874e090fab487,48.What-Works-3-For-circular-design-in-the-built-environment.pdf,,"The Living Building Challenge (LBC), developed by the International Living Future Institute",1,International Living Future Institute
ent:2633bcf276873795,Authority,International Organization for Standardisation,international organization for standardisation,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c236::d75c4681996e1824,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"International Organization for Standardisation, ISO 20887:2020 Sustainability in buildings and civil engineering works",1,International Organization for Standardisation
ent:ca4e02018ce9d460,Authority,Landcom,landcom,True,42.feasibility-of-deconstruction::c123::93780f20e0fd1145,42.feasibility-of-deconstruction.pdf,,What the results of this research suggest for Landcom and our zero waste pathway is a need for,3,Landcom
ent:5510b7b622ba9022,Authority,Lifecycle Building Center,lifecycle building center,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c179::9a81ebe6a308fda6,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,40.0,"Lifecycle Building Center. Design for Deconstruction. Lifecycle Building Center, 2020.",1,Lifecycle Building Center
ent:fd40b629887d411a,Authority,Local Government,local government,False,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c69::ccf77b4884d63070,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,creation of basic level training of circular economy principles to local authorities,11,Local Authorities; Local Government; Local authorities
ent:21c495ae6172ad99,Authority,"Mangialardo & Micelli, 2018",mangialardo  micelli 2018,False,62.Integrating_the_circular_economy_into_construction_waste_management_in_NSW_Australia::c47::e277c4966d1ece73,"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf",,"the degree of complexity and applicability of the design principles depends on the selected approach in the circular economy practices in construction waste management (Mangialardo & Micelli, 2018)",1,"Mangialardo & Micelli, 2018"
ent:327f70b24fab085f,Authority,"Minister for Net Zero Buildings, Active Travel and Tenants' Rights",minister for net zero buildings active travel and tenants rights,True,40.CIOB_Response_to_DECC_Circular_Economy_Consultation::c13::afbb99fe681ef433,40.CIOB Response to DECC Circular Economy Consultation.pdf,,"the CIOB has met with the Minister for Net Zero Buildings, Active Travel and Tenants' Rights",1,"Minister for Net Zero Buildings, Active Travel and Tenants' Rights"
ent:97d48ce833382cc6,Authority,Ministère de la Transition Écologique,ministère de la transition écologique,True,87.The_Circular_Economy_in_the_Australian_Built_Environment_The_State_of_Play_and_a_Research_Agenda::c105::5568d6e09f97754a,87.The Circular Economy in the Australian Built Environment The State of Play and a Research Agenda.pdf,,"L'économie circulaire. (2020, 4 Nov). Ministère de la Transition Écologique.",1,Ministère de la Transition Écologique
ent:c67cf446864bc7ef,Authority,multiple agencies,multiple agencies,True,62.Integrating_the_circular_economy_into_construction_waste_management_in_NSW_Australia::c60::c2543cb2c6134403,"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf",,how governance interacts with the multiple agencies involved in construction waste management through policies,1,multiple agencies
ent:263a4de9216f7ee5,Authority,NACRO,nacro,True,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,Dumping of goods at charity storefronts costs charities about $13 million per year (NACRO 2018),2,NACRO
ent:e6259fe2680e4993,Authority,National Green Building Councils,national green building councils,False,70.The_Reuse_Playbook_-_Circular_Buildings_design::c0::7cd08c5b5fb34b4e,70.The Reuse Playbook - Circular Buildings design.pdf,1.0,The strategies are also aligned with Circular Economy recommendations from the World Green Building Council as well as National Green Building Councils,1,National Green Building Councils
ent:e545052a4f1f2234,Authority,National Waste Database,national waste database,True,88.Building_a_more_circular_Australia::c37::558bfb1526694d38,88.Building a more circular Australia.pdf,,the National Waste Database shows that construction and demolition created over 23 megatonnes of 'core waste' in 2018-19,1,National Waste Database
ent:2733293e79e845c1,Authority,Northern Territory Government,northern territory government,False,44.The_Transition_to_a_Circular_Built_Environment_in_::c22::f5c0011e96a31592,44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,,A specific CE policy has not yet been set up by the Northern Territory Government,2,Northern Territory Government
ent:2ac6a70d22ce23ad,Authority,NSAI,nsai,True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c63::b4c349368bf2c58b,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,Appropriate State bodies to provide guidance to industry with exemplars showing implementing circular economy principles in case study projects. NSAI EPA,2,NSAI
ent:6e83a1b9949bd972,Authority,NSW Government,nsw government,True,63.Building_A_Circular_Economy::c3::078b8ca86e255077,63.Building A Circular Economy.pdf,3.0,the New South Wales State Government has a draft policy to guide decision making towards a circular economy,3,NSW Government
ent:ada5ccf6bed29b59,Authority,NSW Office of Environment and Heritage,nsw office of environment and heritage,True,92.Transformation_towards_a_circular_economy_in_the_Australian_construction_and_demolition_waste_management_system::c53::74f4dc8e11c85baf,92.Transformation towards a circular economy in the Australian construction and demolition waste management system.pdf,32.0,"A study in NSW revealed that deconstruction is cheaper than demolition, by anywhere between 55% and 294% (NSW Office of Environment and Heritage, 2010)",1,NSW Office of Environment and Heritage
ent:a671fc7c6e5325a3,Authority,OECD Countries,oecd countries,True,50.Australia_s_circular_economy_Unlocking_the_oppertunities_Inquiry_report::c125::772b79d2dffb1fe2,50.Australia’s circular economy Unlocking the oppertunities Inquiry report.pdf,39.0,used by several OECD countries for materials such as plastics,1,OECD Countries
ent:8ccf37053affde97,Authority,Opalis,opalis,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c49::41bae40dbbf210cf,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"Opalis | The Opalis website provides a wealth of detailed information on how to extract timber, steel, bricks, insulation, facades",2,Opalis
ent:136066f44f89ab44,Authority,Organisation for Economic Co-operation and Development (OECD),organisation for economic co-operation and development (oecd),True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c191::c67f679fa16b77e9,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,In a recent OECD report on the circular economy in Ireland,2,Organisation for Economic Co-operation and Development (OECD)
ent:2436b56e2cb55d4a,Authority,Plastics and Chemicals Industries Association,plastics and chemicals industries association,True,29.Construction_and_Demolition_Waste_Guide_Recycling_and_Re-use_Across_the_Supply_Chain::c31::b86957e9eda7d8f4,29.Construction and Demolition Waste Guide Recycling and Re-use Across the Supply Chain.pdf,,The Plastics and Chemicals Industries Association's (PACIA) annual recycling survey provides a useful overview,1,Plastics and Chemicals Industries Association
ent:8416ddaaa4c9add4,Authority,Policy and Regulatory Leadership,policy and regulatory leadership,True,85.The_Transition_to_a_Circular_Built_Environment_in_Australia_An_Analysis_of_the_Jurisdictional_Policy_Framework::c0::9a05fee21996ebeb,85.The Transition to a Circular Built Environment in Australia An Analysis of the Jurisdictional Policy Framework.pdf,1.0,Policy and regulatory leadership can enable and support grounding circular economy practices at national and state levels.,1,Policy and Regulatory Leadership
ent:0b6861c7947ff158,Authority,Productivity Commission,productivity commission,True,48.What-Works-3-For-circular-design-in-the-built-environment::c15::f946275342d5b4d6,48.What-Works-3-For-circular-design-in-the-built-environment.pdf,6.0,Source: Productivity Commission,3,Productivity Commission
