Filename,Title,Authors,Year,Publisher,Type,Pages,Total Words,Has Deconstruction,Deconstruction Words,Deconstruction %,File Size (MB)
58.ASI-Steel-Sustainability-Awards-2025-winners-and-highly-commended-project-team.pdf,ASI Steel Sustainability Awards 2025 - Winners and High Commendations,David Mawby,2025,Microsoft® Word for Microsoft 365,Other,1,139,FALSE,0,0,0.19
59.Circular construction technology creating modular and reusable wall frames.pdf,Circular construction technology creating modular and reusable wall frames,,2026,Microsoft: Print To PDF,,6,,FALSE,0,0,1.56
60.Construction and demolition recycling.pdf,Construction and demolition recycling _ Waste Authority WA,,2026,Microsoft: Print To PDF,,3,,FALSE,0,0,0.29
61.Building materials in a circular economy.pdf,Building materials in a circular economy,"Dalton, T., Dorignon, L., Boehme, T., Kempton, L., Iyer-Raniga, U., Oswald, D., Amirghasemi, M. and Moore, T.",2023,Adobe PDF Library 17.0,,106,49258,TRUE,3552,7.21,3.3
"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf","Integrating the circular economy into construction waste management in NSW, Australia",Lizeth Vanessa Arango Cardozo,2023,Macquarie University,Thesis,87,25042,TRUE,4492,17.94,0.92
63.Building A Circular Economy.pdf,Reducing Waste in the Built Environment _ WSP,,2026,Microsoft: Print To PDF,,7,,TRUE,630,0,1.44
76.S 2601-2001 The demolition of structures.pdf,Construction & demolition waste reporting criteria Version 2,Edwin Chu,2021,Microsoft® Word for Microsoft 365,,26,7658,FALSE,0,0,0.67
64.Green Star Construction & Demolition Waste Reporting Criteria.pdf,Construction & demolition waste reporting criteria Version 2,Edwin Chu,2021,Microsoft® Word for Microsoft 365,,26,7658,FALSE,0,0,0.67
65.construction-demolition-guide.pdf,"Civil construction, building and demolition guide",Paige,2025,Minimising risk of harm to human health and the environment,,139,35009,FALSE,0,0,4.13
66.construction demolition work.pdf,Demolition _ WorkSafe.qld.gov.au,,2026,Microsoft: Print To PDF,,3,,FALSE,0,0,0.57
67.demolition-work-cop-2021.pdf,Demolition work Code of Practice 2021,Policy,2021,This Demolition work Code of Practice an approved code of practice under section 274 of the Work Health and Safety Act 2011.,,53,20811,FALSE,0,0,0.66
70.The Reuse Playbook - Circular Buildings design.pdf,Circular Buildings Toolkit,,2026,Microsoft: Print To PDF,,69,,TRUE,930,0,12.05
71.The Reuse Playbook - Circular Buildings Toolkit.pdf,The Reuse Playbook,Grace Di Benedetto,2025,Ove Arup & Partners Limited,Technical Report,53,27486,TRUE,10267,37.35,3.57
68.ACT-Circular-Economy-Strategy-access.pdf,ACT Circular Economy Strategy and Action Plan 2023-2030,ACT Government,2023,Adobe PDF Library 17.0,,23,8782,TRUE,700,7.97,7.84
72.Circular-Precincts-Australia-1.pdf,Circular Precincts Australia,Circular Australia,2025,Canva,,27,7581,TRUE,731,9.64,8.92
69.Fact Sheets and Reports.pdf,Fact Sheets and Reports,,2026,Microsoft: Print To PDF,,10,,FALSE,0,0,1.91
73.Building better a circular future for the built environment.pdf,Building better_ a circular future for the built environment,,2026,Microsoft: Print To PDF,,6,,TRUE,224,0,1.17
74.Circularity_in_Australian_Business_2023_FINAL2.pdf,"CIRCULARITY IN AUSTRALIAN BUSINESS 2023 Perceptions, Knowledge and Actions Beyond Recycling",,2023,Adobe PDF Library 17.0,,48,13170,FALSE,0,0,6.63
75.Case-Study-1-1-ATCO-SL.pdf,Report Title (28 pt Arial narrow bold),Carli Keane,2025,Microsoft® Word for Microsoft 365,,48,18129,TRUE,431,2.38,2.4
77.National-waste-policy-action-plan-2019.pdf,National Waste Policy Action Plan 2019,Australian Government,2019,Adobe PDF Library 15.0,,41,6513,FALSE,0,0,5.73
78.Recycled-First-Policy.pdf,Recycled First Policy: Purposely Greener Infrastructure,Microsoft Office User,2020,,,5,1787,FALSE,0,0,0.1
79.Cleaning-Up-Our-Act.pdf,Cleaning Up Our Act: Redirecting the Future for Waste and Resource Recovery in NSW - issues paper,NSW Government,2020,"The NSW Government is developing a state-wide 20-Year Waste Strategy. This issues paper has been prepared to help shape the development of the long-term strategy. It explores how we might achieve a sustainable, reliable and affordable resource recovery and waste system in NSW. It sets out the key challenges and opportunities and articulates a range of options.",,46,19640,FALSE,0,0,3.52
80.WMRR landfill position final 10 March 2020.pdf,Microsoft Word - WMRR landfill position final 10 March 2020,jacqueline,2020,Acrobat Distiller 20.0 (Windows),,2,646,FALSE,0,0,0.32
81.Strategic_Direction_Waste_Avoidance_and_Resource_Recovery_Strategy_2030.pdf,Waste Avoidance and Resource Recovery Strategy 2030,,2020,Adobe PDF Library 15.0,,44,12788,FALSE,0,0,6.21
82.national-waste-policy-action-plan-2019.pdf,National Waste Policy Action Plan 2019,Australian Government,2019,Adobe PDF Library 15.0,,41,6513,FALSE,0,0,5.73
84.FWPA-Standard-G01-Recycled-Timber-Visually-Graded-for-Structural-Purposes-Edition-1.0-2025.pdf,Recycled Timber – Visually Graded for Structural Purposes,Emmy Petersson,2025,FWPA Standard G01,,236,91254,FALSE,0,0,3.84
83.FWPA-Standard-G02-Recycled-Timber-Visually-Graded-Decorative-Products-0209_24.pdf,FWPA Standard G02 Recycled Timber - Visually Graded Decorative Products,,2024,GPL Ghostscript 9.55.0,,30,7848,FALSE,0,0,0.65
85.The Transition to a Circular Built Environment in Australia An Analysis of the Jurisdictional Policy Framework.pdf,The Transition to a Circular Built Environment in Australia: An Analysis of the Jurisdictional Policy Framework,"Usha Iyer-Raniga, Akvan Gajanayake, Oanh Thi-Kieu Ho",2023,Environmental Policy and Law,Journal Article,14,2761,TRUE,832,30.13,0.26
86.ISC0024_2023-Impacts-Report_FINAL-LR_Spreads-R.pdf,86.ISC0024_2023-Impacts-Report_FINAL-LR_Spreads-R.pdf,,2023,Adobe PDF Library 17.0,,65,35397,FALSE,0,0,9.66
87.The Circular Economy in the Australian Built Environment The State of Play and a Research Agenda.pdf,The Circular Economy in the Australian Built Environment: The State of Play and a Research Agenda,Deakin University,2021,"The report provides a picture of the CE landscape in Australia, with discussions on the main areas (i.e. research and industry).",,56,16515,TRUE,3552,21.51,3.78
88.Building a more circular Australia.pdf,Building a more circular Australia: The opportunity of transitioning to a circular economy,,2021,PwC Australia,White Paper,33,8223,TRUE,1294,15.74,7.81
89.Rethink-Construction-Demolition-Fact-Sheet.pdf,Managing waste in the Construction and Demolition sector,,2018,Adobe PDF Library 15.0,Other,4,1068,FALSE,0,0,3.4
90.Case study of demolition costs of residential buildings.pdf,chap1,Ng,2006,chap1,,19,9513,FALSE,0,0,0.46
91.A case study of construction and demolition waste management process flow in mega infrastructure projects in Australia.pdf,Open Access proceedings Journal of Physics: Conference series,George Evans,2022,Adobe PDF Library 21.11.71; modified using iText® 5.5.13.3 ©2000-2022 iText Group NV (IOP Publishing Ltd; licensed version),,12,6144,TRUE,675,10.99,1.62
92.Transformation towards a circular economy in the Australian construction and demolition waste management system.pdf,Transformation towards a circular economy in the Australian construction and demolition waste management system,"Shooshtarian, S, Maqsood, T, Caldera, S, Ryley, T",2022,Sustainable Production and Consumption,Journal Article,58,15135,TRUE,2109,13.93,1.13
93.ACE_Hub_Circularity_In_Australian_Business_Report_2021.pdf,"CIRCULARITY IN AUSTRALIAN BUSINESS 2021 Awareness, Knowledge and Perceptions",,2022,Adobe PDF Library 16.0.3,,39,8186,FALSE,0,0,5.77
94.Circular-Economy-Impact-Note_Final-for-Publication.pdf,94.Circular-Economy-Impact-Note_Final-for-Publication.pdf,,2024,Adobe PDF Library 17.0,,8,2083,FALSE,0,0,3.28
95.Circular Buildings Toolkit.pdf,Circular Design Framework,,2022,Arup and the Ellen MacArthur Foundation,Technical Report,5,1482,FALSE,0,0,2.37
31.Are Australian Construction and Demolition Waste Management Research Efforts Coherent with Policy Targets.pdf,Global Net Zero Carbon Practices in Construction,Niluka Domingo,2025,Springer-i,,19,7662,TRUE,2259,29.48,0.3
15.NWRIC Submission to the Inquiry into the Waste and Recycling Industry in Australia.pdf,Waste and recycling industry in Australia Submission 10,,2017,Department of the Senate,Technical Report,11,5680,FALSE,0,0,0.35
39.Submission to the Productivity Commission on Waste Management.pdf,sub087 housing industry association,M. Reza Hosseini,2026,,,13,4046,FALSE,0,0,0.38
