edge_id,subject_id,predicate,object_id,chunk_id,source_file,page_num,judge_label,statement_confidence,evidence_excerpt,evidence_start_char,evidence_end_char,country
rel:dd60379e6d37abe2,ent:2823bfd41f8dfccc,REFERENCES,ent:77b4b5dc7a53caec,22.national-waste-report-2020::c102::7e2204e07563ca7a,22.national-waste-report-2020.pdf,,keep,1.0,buildings can be purposefully deconstructed to maximise reuse and recycling (DECCW NSW 2010),,,AU
rel:5ac18130372be6a5,ent:cd58309b1bb12e75,INVOLVES,ent:314639a8e9121b48,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"Clients and regulators are paying attention: they expect demolition contractors to be as competent in project management, safety, and innovation",,,AU
rel:dcd0ddfcfcc29f73,ent:2124ba098f7c931c,INVOLVES,ent:314639a8e9121b48,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"Clients and regulators are paying attention: they expect demolition contractors to be as competent in project management, safety, and innovation",,,AU
rel:317a071e01b6e7c1,ent:2124ba098f7c931c,REQUIRES,ent:248a0f18ea2819c2,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,We can anticipate stricter demands for environmental performance (e.g. waste recycling targets) and possibly carbon footprint considerations,,,AU
rel:11491cbeaab5a1eb,ent:248a0f18ea2819c2,APPLIES_TO,ent:314639a8e9121b48,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"We can anticipate stricter demands for environmental performance (e.g. waste recycling targets) and possibly carbon footprint considerations, which in turn may push the industry",,,AU
rel:f8e870561489d71a,ent:248a0f18ea2819c2,ENABLES,ent:9efc36eeb6361fe4,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"stricter demands for environmental performance (e.g. waste recycling targets) and possibly carbon footprint considerations, which in turn may push the industry toward even more selective demolition",,,AU
rel:16ffab0bcfb248b0,ent:248a0f18ea2819c2,ENABLES,ent:0457a8067d2d32ec,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"stricter demands for environmental performance (e.g. waste recycling targets) and possibly carbon footprint considerations, which in turn may push the industry toward even more selective demolition and material reuse strategies",,,AU
rel:5b624808aa07cc18,ent:b1f3fbd36589ae05,AFFECTS,ent:314639a8e9121b48,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"stricter demands for environmental performance (e.g. waste recycling targets) and possibly carbon footprint considerations, which in turn may push the industry",,,AU
rel:c3180fa4ce0d4d08,ent:9efc36eeb6361fe4,INVOLVES,ent:f2a0b6bc434416e7,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,selective demolition and material reuse strategies. These may involve advanced techniques and planning,,,AU
rel:0ab8b46d55007069,ent:0457a8067d2d32ec,INVOLVES,ent:f2a0b6bc434416e7,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,material reuse strategies. These may involve advanced techniques and planning that again benefit from digital tools,,,AU
rel:c976dda131cefaaf,ent:929ba31b93721e7d,ENABLES,ent:f2a0b6bc434416e7,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,These may involve advanced techniques and planning that again benefit from digital tools,,,AU
rel:640393c3d8170c97,ent:929ba31b93721e7d,ENABLES,ent:7b10bb1b6dafbd9a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"planning that again benefit from digital tools (for instance, material inventories and marketplaces for salvaged components)",,,AU
rel:1940e45513296195,ent:929ba31b93721e7d,ENABLES,ent:80630ac6994435c2,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"planning that again benefit from digital tools (for instance, material inventories and marketplaces for salvaged components)",,,AU
rel:24b5c9d20c598f95,ent:7b10bb1b6dafbd9a,INVOLVES,ent:9adc4f356b2cc767,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"benefit from digital tools (for instance, material inventories and marketplaces for salvaged components)",,,AU
rel:5cb018e1e81c0a98,ent:80630ac6994435c2,INVOLVES,ent:9adc4f356b2cc767,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,material inventories and marketplaces for salvaged components,714.0,775.0,AU
rel:7b08b04e19089a6c,ent:0457a8067d2d32ec,PRODUCES,ent:9adc4f356b2cc767,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"selective demolition and material reuse strategies. These may involve advanced techniques and planning that again benefit from digital tools (for instance, material inventories and marketplaces for salvaged components)",,,AU
rel:28520945ca15a572,ent:9efc36eeb6361fe4,PRODUCES,ent:9adc4f356b2cc767,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c108::7102bf7e19f715dd,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"selective demolition and material reuse strategies. These may involve advanced techniques and planning that again benefit from digital tools (for instance, material inventories and marketplaces for salvaged components)",,,AU
rel:99d04fc22113cfdb,ent:15ea3083ad22316c,INVOLVES,ent:0b21746e83103a88,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,training operators for these robots is crucial - Japan invested heavily in training a new breed of operators,,,AU
rel:6a7ee41c46ded553,ent:61267f857ed5ba18,INVOLVES,ent:b0b6fa45b4835db7,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Japan invested heavily in training a new breed of operators,,,AU
rel:9f55d86e83528214,ent:b0b6fa45b4835db7,INVOLVES,ent:0b21746e83103a88,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,"training a new breed of operators who were part demolition expert, part video-gamer",,,AU
rel:0e38d3cd41c06863,ent:15ea3083ad22316c,APPLIES_TO,ent:84bc84b2f36ea0a5,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,translate to asbestos or chemical plant demolitions elsewhere,311.0,372.0,AU
rel:3936786fc4154f1a,ent:15ea3083ad22316c,ENABLES,ent:9fdb92f8866eaa8a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,robotics dramatically improve safety for hazardous material removal,,,AU
rel:db2ac5886976b8e1,ent:dd71e90145bbf900,INVOLVES,ent:0b21746e83103a88,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,older nuclear engineers to trust young robot operators,644.0,698.0,AU
rel:2f026c8a9491fc4d,ent:0f91be45d06a566a,APPLIES_IN,ent:06847c287fafb3dd,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium) - Circu/ar Economy through Al (Sloopwijzer Project),,,AU
rel:2fc6d89f0a032318,ent:0f91be45d06a566a,APPLIES_IN,ent:ce25299571e618df,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium) - Circu/ar Economy through Al (Sloopwijzer Project),,,AU
rel:c639ddc82ccfebcc,ent:0f91be45d06a566a,ENABLES,ent:9efc36eeb6361fe4,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium) - Circu/ar Economy through Al (Sloopwijzer Project),,,AU
rel:5f2b71b0ad6c0672,ent:0f91be45d06a566a,ENABLES,ent:b3bcfc5f20599832,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium) - Circu/ar Economy through Al (Sloopwijzer Project),,,AU
rel:c3af371ba1052c6c,ent:0f91be45d06a566a,ENABLES,ent:753be3be11412c8a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Circu/ar Economy through Al (Sloopwijzer Project),,,AU
rel:d487e8ee964f5e81,ent:b3bcfc5f20599832,APPLIES_IN,ent:06847c287fafb3dd,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium),841.0,888.0,AU
rel:e32780a69a513467,ent:9efc36eeb6361fe4,APPLIES_IN,ent:06847c287fafb3dd,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium),841.0,888.0,AU
rel:dc1d34b8a1a6ceb0,ent:753be3be11412c8a,APPLIES_IN,ent:06847c287fafb3dd,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c82::2fa53b4bcfcbbcb9,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",36.0,maybe,0.6,Selective Demolition via Al in Leuven (Belgium) - Circu/ar Economy through Al,,,AU
rel:0c8a318a458971fd,ent:9b83c64f0fbcc609,INVOLVES,ent:e5d021251bc4a69a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,The knowledge and experience of veteran demolition professionals remain an invaluable asset.,,,AU
rel:3324ff369bf466fc,ent:929ba31b93721e7d,ENABLES,ent:938d8d38e896e6ac,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"When paired with modern tools, experienced workers can achieve extraordinary results, mentoring the next generation and leading by example in adopting safer, more efficient practices.",,,AU
rel:a59ced3aceb519eb,ent:9b83c64f0fbcc609,INVOLVES,ent:2db2d68414d82380,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"experienced workers can achieve extraordinary results, mentoring the next generation and leading by example",,,AU
rel:91c8eee6e32e6959,ent:bd1cadbea7952fe1,ENABLES,ent:e5d021251bc4a69a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"without deliberate upskilling and cultural integration, there is a risk of displacement or disengagement of these workers.",,,AU
rel:a4e01ca743c00dc4,ent:10af3d78b5cab6cf,ENABLES,ent:e5d021251bc4a69a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"without deliberate upskilling and cultural integration, there is a risk of displacement or disengagement",,,AU
rel:c5c40aba504b45e9,ent:601056002e50600d,INVOLVES,ent:dda54f9739fe046c,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,Businesses that proactively train and include their long-standing employees in the digital journey,,,AU
rel:06abb3693868afa4,ent:601056002e50600d,INVOLVES,ent:9b83c64f0fbcc609,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,Businesses that proactively train and include their long-standing employees in the digital journey,,,AU
rel:6bf60ab45831213a,ent:bd1cadbea7952fe1,BARRIERS,ent:d37f829dbd042220,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"without deliberate upskilling and cultural integration, there is a risk of displacement or disengagement of these workers.",,,AU
rel:0f751ae3c7271459,ent:10af3d78b5cab6cf,BARRIERS,ent:d37f829dbd042220,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"without deliberate upskilling and cultural integration, there is a risk of displacement or disengagement",,,AU
rel:a4bbc6d51fb89260,ent:a7ee8fd1128429d9,BARRIERS,ent:e5d021251bc4a69a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,those that do not may suffer skill gaps and internal friction.,,,AU
rel:43928e3bac5fe1ec,ent:44032b5c88996cb5,BARRIERS,ent:e5d021251bc4a69a,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,those that do not may suffer skill gaps and internal friction.,,,AU
rel:9c00edd5592c36af,ent:dda54f9739fe046c,REQUIRES,ent:bd1cadbea7952fe1,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,Businesses that proactively train and include their long-standing employees in the digital journey,,,AU
rel:8c8d8cda4b653602,ent:9b83c64f0fbcc609,ENABLES,ent:938d8d38e896e6ac,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c107::832b3095ce1fdaf8,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",47.0,maybe,0.6,"experienced workers can achieve extraordinary results, mentoring the next generation and leading by example in adopting safer, more efficient practices.",,,AU
rel:4c86d2f6741d46f3,ent:0f91be45d06a566a,ISSUED_BY,ent:cba071c63907447f,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c83::9f30f0b35be8e491,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,the Sloopwijzer tool was part of a Circular Flanders initiative,15.0,78.0,AU
rel:21c9cf29b5be6392,ent:0f91be45d06a566a,APPLIES_IN,ent:06847c287fafb3dd,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c83::9f30f0b35be8e491,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"In a pilot case in Leuven, a building slated for partial demolition was used to test the Al's recommendations.",,,AU
rel:acd9e2a3c74f50fd,ent:0f91be45d06a566a,REQUIRES,ent:9efc36eeb6361fe4,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c83::9f30f0b35be8e491,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,"It recommended a selective demolition approach, and the project team followed this guidance",,,AU
rel:b2baecae78f5587c,ent:65fd7b63ecaf6a8a,INVOLVES,ent:a03247dce4251a90,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c83::9f30f0b35be8e491,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,the project team followed this guidance - they hired specialist crews to gently dismantle facade sections for reuse.,,,AU
rel:78f041ae77647758,ent:9efc36eeb6361fe4,INVOLVES,ent:a03247dce4251a90,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c83::9f30f0b35be8e491,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,keep,1.0,they hired specialist crews to gently dismantle facade sections for reuse.,,,AU
